Time [s],Channel 0,Channel 1
103.893738000,1,0
103.899027300,0,0
104.192301000,1,0
104.197302100,0,0
104.197406900,1,0
104.198458100,0,0
104.198563000,1,0
104.199613900,0,0
104.199718200,1,0
104.199823000,0,0
104.200557100,1,0
104.200769800,0,0
104.201084100,1,0
104.201189300,0,0
104.201713100,1,0
104.201926000,0,0
104.202135400,1,0
104.202240200,0,0
104.202345200,1,0
104.202450500,0,0
104.202765000,1,0
104.203082200,0,0
104.204025400,1,0
104.204239900,0,0
104.204554200,1,0
104.204659400,0,0
104.205183300,1,0
104.205398200,0,0
104.205711900,1,0
104.205921900,0,0
104.206026900,1,0
104.206236900,0,0
104.206341300,1,0
104.206696100,0,0
104.206803800,1,0
104.207842500,0,0
104.207949400,1,0
104.208988000,0,0
104.209094300,1,0
104.209196500,0,0
104.209926300,1,0
104.210132900,0,0
104.210344000,1,0
104.210549800,0,0
104.211071600,1,0
104.211278400,0,0
104.212216700,1,0
104.212424000,0,0
104.212530700,1,0
104.212736800,0,0
104.213362600,1,0
104.213569700,0,0
104.213676100,1,0
104.213778200,0,0
104.214196200,1,0
104.214298000,0,0
104.214508000,1,0
104.214715100,0,0
104.214821500,1,0
104.214923800,0,0
104.215653500,1,0
104.215860400,0,0
104.216279200,1,0
104.216381000,0,0
104.216798800,1,0
104.217005500,0,0
104.217111900,1,0
104.217318000,0,0
104.217424100,1,0
104.217525900,0,0
104.217735900,1,0
104.223022900,0,0
104.560298200,1,0
104.565300500,0,0
104.565404800,1,0
104.566457200,0,0
104.566561500,1,0
104.567612400,0,0
104.567716300,1,0
104.567821500,0,0
104.568555200,1,0
104.568767900,0,0
104.569082300,1,0
104.569187100,0,0
104.569711700,1,0
104.569924500,0,0
104.570133800,1,0
104.570238600,0,0
104.570343500,1,0
104.570448200,0,0
104.570763000,1,0
104.571080800,0,0
104.572024600,1,0
104.572239300,0,0
104.572553700,1,0
104.572658500,0,0
104.573182800,1,0
104.573397800,0,0
104.573711500,1,0
104.573921400,0,0
104.574026300,1,0
104.574236200,0,0
104.574340600,1,0
104.574693800,0,0
104.574801500,1,0
104.575840100,0,0
104.575947000,1,0
104.576985600,0,0
104.577091800,1,0
104.577194100,0,0
104.577923900,1,0
104.578130500,0,0
104.578341600,1,0
104.578547400,0,0
104.579069200,1,0
104.579276000,0,0
104.580214200,1,0
104.580421500,0,0
104.580528200,1,0
104.580734300,0,0
104.581360100,1,0
104.581567200,0,0
104.581673600,1,0
104.581775700,0,0
104.582193700,1,0
104.582295500,0,0
104.582505500,1,0
104.582712600,0,0
104.582819000,1,0
104.582921300,0,0
104.583651000,1,0
104.583858000,0,0
104.584276700,1,0
104.584378500,0,0
104.584796400,1,0
104.585003100,0,0
104.585109500,1,0
104.585315600,0,0
104.585421700,1,0
104.585523500,0,0
104.585733500,1,0
104.591022500,0,0
104.885292200,1,0
104.890293600,0,0
104.890398000,1,0
104.891450000,0,0
104.891554300,1,0
104.892605100,0,0
104.892708900,1,0
104.892814100,0,0
104.893548300,1,0
104.893761000,0,0
104.894075500,1,0
104.894180300,0,0
104.894704900,1,0
104.894917800,0,0
104.895127000,1,0
104.895231800,0,0
104.895336700,1,0
104.895441400,0,0
104.895756300,1,0
104.896074200,0,0
104.897018200,1,0
104.897232800,0,0
104.897547000,1,0
104.897651800,0,0
104.898176300,1,0
104.898391300,0,0
104.898705300,1,0
104.898915100,0,0
104.899020000,1,0
104.899230000,0,0
104.899334300,1,0
104.899686200,0,0
104.899794000,1,0
104.900832600,0,0
104.900938800,1,0
104.901977400,0,0
104.902083800,1,0
104.902185900,0,0
104.902915600,1,0
104.903122400,0,0
104.903332900,1,0
104.903538700,0,0
104.904060500,1,0
104.904267200,0,0
104.905205500,1,0
104.905412900,0,0
104.905519000,1,0
104.905725000,0,0
104.906350800,1,0
104.906557900,0,0
104.906664300,1,0
104.906766600,0,0
104.907184600,1,0
104.907286400,0,0
104.907496400,1,0
104.907703400,0,0
104.907809900,1,0
104.907912100,0,0
104.908641900,1,0
104.908849000,0,0
104.909267700,1,0
104.909369500,0,0
104.909787400,1,0
104.909994100,0,0
104.910100500,1,0
104.910306600,0,0
104.910412700,1,0
104.910514500,0,0
104.910724600,1,0
104.916010900,0,0
105.209287400,1,0
105.214289100,0,0
105.214393500,1,0
105.215445200,0,0
105.215549500,1,0
105.216600800,0,0
105.216704700,1,0
105.216810000,0,0
105.217543700,1,0
105.217756400,0,0
105.218070600,1,0
105.218175400,0,0
105.218699700,1,0
105.218912500,0,0
105.219121800,1,0
105.219226500,0,0
105.219331400,1,0
105.219436200,0,0
105.219751000,1,0
105.220068800,0,0
105.221012600,1,0
105.221227300,0,0
105.221541700,1,0
105.221646500,0,0
105.222170800,1,0
105.222385700,0,0
105.222699400,1,0
105.222909400,0,0
105.223014300,1,0
105.223224200,0,0
105.223328500,1,0
105.223682100,0,0
105.223789700,1,0
105.224828400,0,0
105.224935300,1,0
105.225973900,0,0
105.226080200,1,0
105.226182500,0,0
105.226912200,1,0
105.227118800,0,0
105.227330000,1,0
105.227535700,0,0
105.228057600,1,0
105.228264300,0,0
105.229202600,1,0
105.229409900,0,0
105.229516600,1,0
105.229722700,0,0
105.230348400,1,0
105.230555600,0,0
105.230662000,1,0
105.230764100,0,0
105.231182100,1,0
105.231283900,0,0
105.231493800,1,0
105.231701000,0,0
105.231807400,1,0
105.231909600,0,0
105.232639400,1,0
105.232846400,0,0
105.233265100,1,0
105.233366900,0,0
105.233784800,1,0
105.233991500,0,0
105.234097900,1,0
105.234304000,0,0
105.234410100,1,0
105.234511900,0,0
105.234721900,1,0
105.240010100,0,0
105.573283100,1,0
105.578284200,0,0
105.578388500,1,0
105.579440800,0,0
105.579545100,1,0
105.580596500,0,0
105.580700300,1,0
105.580805600,0,0
105.581539300,1,0
105.581752000,0,0
105.582066300,1,0
105.582171000,0,0
105.582695300,1,0
105.582908300,0,0
105.583117600,1,0
105.583222400,0,0
105.583327400,1,0
105.583432200,0,0
105.583747200,1,0
105.584065200,0,0
105.585009100,1,0
105.585223700,0,0
105.585537900,1,0
105.585642700,0,0
105.586167200,1,0
105.586382300,0,0
105.586696200,1,0
105.586906100,0,0
105.587010900,1,0
105.587220800,0,0
105.587325200,1,0
105.587677700,0,0
105.587785400,1,0
105.588824000,0,0
105.588930400,1,0
105.589969000,0,0
105.590075200,1,0
105.590177300,0,0
105.590907000,1,0
105.591113800,0,0
105.591324400,1,0
105.591530200,0,0
105.592052000,1,0
105.592258700,0,0
105.593196800,1,0
105.593404200,0,0
105.593510400,1,0
105.593716500,0,0
105.594342300,1,0
105.594549400,0,0
105.594655800,1,0
105.594757900,0,0
105.595175800,1,0
105.595277600,0,0
105.595487600,1,0
105.595694700,0,0
105.595801100,1,0
105.595903200,0,0
105.596632900,1,0
105.596840100,0,0
105.597258800,1,0
105.597360600,0,0
105.597778500,1,0
105.597985000,0,0
105.598091800,1,0
105.598298100,0,0
105.598404200,1,0
105.598506000,0,0
105.598716000,1,0
105.604002500,0,0
105.892282300,1,0
105.897283300,0,0
105.897387700,1,0
105.898438700,0,0
